,mean,median,mode
Grand Princess Cruise Ship,inf,inf,inf
Alameda County,2193.114285714286,1158.0,0.0
Alpine County,842.6857142857143,1240.0,1240.0
Amador County,905.3714285714286,176.0,0.0
Butte County,1334.4,108.0,0.0
Calaveras County,857.8,203.0,0.0
Colusa County,3440.6,153.0,0.0
Contra Costa County,2136.5714285714284,781.0,0.0
Del Norte County,972.2857142857143,478.0,0.0
El Dorado County,900.7428571428571,267.0,0.0
Fresno County,4238.428571428572,1008.0,0.0
Glenn County,2961.542857142857,299.0,0.0
Humboldt County,621.8285714285714,386.0,0.0
Imperial County,14186.457142857143,4432.0,0.0
Inyo County,1524.0857142857142,737.0,0.0
Kern County,5504.114285714286,1363.0,0.0
Kings County,8284.028571428571,2562.0,0.0
Lake County,886.3714285714286,134.0,0.0
Lassen County,2599.8285714285716,46.0,0.0
Los Angeles County,5451.571428571428,2583.0,0.0
Madera County,3686.114285714286,374.0,0.0
Marin County,4572.4857142857145,1037.0,0.0
Mariposa County,869.2571428571429,610.0,0.0
Mendocino County,1193.942857142857,158.0,0.0
Merced County,4476.685714285714,624.0,0.0
Modoc County,108.57142857142857,0.0,0.0
Mono County,2508.3714285714286,1620.0,0.0
Monterey County,3106.1428571428573,776.0,0.0
Napa County,1852.8,506.0,0.0
Nevada County,854.4285714285714,288.0,0.0
Orange County,3075.542857142857,1136.0,0.0
Placer County,1366.057142857143,321.0,0.0
Plumas County,433.25714285714287,149.0,0.0
Riverside County,4338.971428571429,1864.0,0.0
Sacramento County,1952.0285714285715,579.0,0.0
San Benito County,3010.1714285714284,774.0,22.0
San Bernardino County,4088.2,1355.0,0.0
San Diego County,2526.0,1301.0,0.0
San Francisco County,2444.4285714285716,1638.0,0.0
San Joaquin County,4022.7428571428572,686.0,0.0
San Luis Obispo County,1865.8857142857144,633.0,0.0
San Mateo County,2402.7428571428572,1459.0,0.0
Santa Barbara County,3953.285714285714,2255.0,0.0
Santa Clara County,1778.5714285714287,936.0,1.0
Santa Cruz County,1198.9714285714285,480.0,0.0
Shasta County,564.5428571428571,138.0,0.0
Sierra County,306.22857142857146,133.0,0.0
Siskiyou County,532.3428571428572,96.0,0.0
Solano County,2255.342857142857,716.0,0.0
Sonoma County,1953.5428571428572,664.0,0.0
Stanislaus County,4435.628571428571,805.0,0.0
Sutter County,2290.3142857142857,293.0,0.0
Tehama County,992.3714285714286,31.0,0.0
Trinity County,143.05714285714285,57.0,0.0
Tulare County,5842.771428571428,2465.0,0.0
Tuolumne County,597.3142857142857,31.0,0.0
Ventura County,2382.6,754.0,0.0
Yolo County,1993.5142857142857,608.0,0.0
Yuba County,1797.6857142857143,249.0,0.0
