,mean,median
Grand Princess Cruise Ship,,
Alameda County,40.285714285714285,34.0
Alpine County,0.0,0.0
Amador County,26.114285714285714,0.0
Butte County,13.2,0.0
Calaveras County,8.571428571428571,0.0
Colusa County,36.2,0.0
Contra Costa County,34.114285714285714,20.0
Del Norte County,3.8,0.0
El Dorado County,1.5142857142857142,0.0
Fresno County,47.857142857142854,16.0
Glenn County,27.0,0.0
Humboldt County,10.028571428571428,4.0
Imperial County,310.62857142857143,85.0
Inyo County,80.85714285714286,39.0
Kern County,54.05714285714286,21.0
Kings County,91.71428571428571,10.0
Lake County,8.771428571428572,0.0
Lassen County,0.08571428571428572,0.0
Los Angeles County,153.97142857142856,124.0
Madera County,53.34285714285714,9.0
Marin County,73.57142857142857,38.0
Mariposa County,29.571428571428573,29.0
Mendocino County,24.17142857142857,0.0
Merced County,58.97142857142857,15.0
Modoc County,0.0,0.0
Mono County,39.114285714285714,48.0
Monterey County,23.571428571428573,13.0
Napa County,20.085714285714285,15.0
Nevada County,7.857142857142857,7.0
Orange County,60.542857142857144,27.0
Placer County,18.114285714285714,14.0
Plumas County,0.0,0.0
Riverside County,97.0,70.0
Sacramento County,35.2,24.0
San Benito County,26.17142857142857,22.0
San Bernardino County,70.37142857142857,48.0
San Diego County,54.0,44.0
San Francisco County,26.514285714285716,28.0
San Joaquin County,72.62857142857143,30.0
San Luis Obispo County,11.885714285714286,2.0
San Mateo County,57.542857142857144,61.0
Santa Barbara County,38.82857142857143,18.0
Santa Clara County,40.48571428571429,49.0
Santa Cruz County,6.085714285714285,5.0
Shasta County,15.685714285714285,16.0
Sierra County,0.0,0.0
Siskiyou County,0.0,0.0
Solano County,27.085714285714285,24.0
Sonoma County,24.457142857142856,6.0
Stanislaus County,76.22857142857143,35.0
Sutter County,20.742857142857144,14.0
Tehama County,5.8,8.0
Trinity County,0.0,0.0
Tulare County,127.05714285714286,95.0
Tuolumne County,5.942857142857143,0.0
Ventura County,30.65714285714286,21.0
Yolo County,62.77142857142857,70.0
Yuba County,14.885714285714286,9.0
