,mean,median,mode
Alachua County,0.4,0.0,0.0
Baker County,1.0285714285714285,0.0,0.0
Bay County,1.6285714285714286,0.0,0.0
Bradford County,0.6857142857142857,0.0,0.0
Brevard County,1.1714285714285715,0.0,0.0
Broward County,1.8571428571428572,1.0,0.0
Calhoun County,1.8,0.0,0.0
Charlotte County,2.057142857142857,2.0,0.0
Citrus County,1.457142857142857,0.0,0.0
Clay County,1.1142857142857143,1.0,0.0
Collier County,1.457142857142857,2.0,0.0
Columbia County,1.9428571428571428,0.0,0.0
DeSoto County,1.7714285714285714,0.0,0.0
Dixie County,0.8571428571428571,0.0,0.0
Duval County,1.0,1.0,0.0
Escambia County,2.0,1.0,0.0
Flagler County,0.5714285714285714,0.0,0.0
Franklin County,0.6857142857142857,0.0,0.0
Gadsden County,2.7142857142857144,0.0,0.0
Gilchrist County,1.8285714285714285,0.0,0.0
Glades County,0.8,0.0,0.0
Gulf County,2.7142857142857144,0.0,0.0
Hamilton County,1.6,0.0,0.0
Hardee County,1.1142857142857143,0.0,0.0
Hendry County,2.7714285714285714,2.0,0.0
Hernando County,1.6857142857142857,0.0,0.0
Highlands County,2.2,1.0,0.0
Hillsborough County,1.2,1.0,0.0
Holmes County,0.7142857142857143,0.0,0.0
Indian River County,1.9714285714285715,1.0,0.0
Jackson County,4.542857142857143,0.0,0.0
Jefferson County,1.6,0.0,0.0
Lafayette County,3.742857142857143,0.0,0.0
Lake County,1.2571428571428571,1.0,0.0
Lee County,1.6857142857142857,1.0,0.0
Leon County,0.42857142857142855,0.0,0.0
Levy County,0.5142857142857142,0.0,0.0
Liberty County,2.4,0.0,0.0
Madison County,2.6,0.0,0.0
Manatee County,1.9142857142857144,1.0,0.0
Marion County,2.0285714285714285,0.0,0.0
Martin County,2.342857142857143,1.0,0.0
Miami-Dade County,3.1142857142857143,3.0,0.0
Monroe County,0.7142857142857143,0.0,0.0
Nassau County,1.1142857142857143,0.0,0.0
Okaloosa County,1.2571428571428571,0.0,0.0
Okeechobee County,1.457142857142857,0.0,0.0
Orange County,0.8571428571428571,0.0,0.0
Osceola County,1.0857142857142856,0.0,0.0
Palm Beach County,2.342857142857143,3.0,0.0
Pasco County,0.9714285714285714,0.0,0.0
Pinellas County,2.057142857142857,1.0,0.0
Polk County,1.9714285714285715,1.0,0.0
Putnam County,1.4,0.0,0.0
St. Johns County,0.6285714285714286,0.0,0.0
St. Lucie County,2.257142857142857,1.0,0.0
Santa Rosa County,1.0857142857142856,0.0,0.0
Sarasota County,1.542857142857143,1.0,0.0
Seminole County,1.1714285714285715,0.0,0.0
Sumter County,1.4285714285714286,1.0,0.0
Suwannee County,4.228571428571429,0.0,0.0
Taylor County,1.542857142857143,0.0,0.0
Union County,1.9428571428571428,0.0,0.0
Volusia County,1.0857142857142856,1.0,0.0
Wakulla County,0.7714285714285715,0.0,0.0
Walton County,0.8285714285714286,0.0,0.0
Washington County,2.057142857142857,0.0,0.0
